zipcode,school_district
02738,Marion School District
02739,Mattapoisett School District
02740,New Bedford School District
02743,Acushnet School District
02744,New Bedford School District
02745,New Bedford School District
02746,New Bedford School District
02747,Dartmouth School District
02748,Dartmouth School District
02760,North Attleborough School District
02762,King Philip School District
02763,North Attleborough School District
02764,Dighton-Rehoboth School District
02766,Norton School District
02767,Bridgewater-Raynham School District
02769,Dighton-Rehoboth School District
02770,Old Rochester School District
02771,Seekonk School District
02777,Swansea School District
02779,Somerset-Berkley School District
02780,Taunton School District
02790,Westport School District
02791,Westport School District
02802,Lincoln School District
02804,Chariho Regional School District
02806,Barrington School District
02807,New Shoreham School District
02808,Chariho Regional School District
02809,Bristol-Warren Regional School District
02812,Chariho Regional School District
02813,Chariho Regional School District
02814,Foster-Glocester Regional School District
02815,Scituate School District
02816,Coventry School District
02817,Exeter-West Greenwich Regional School District
02818,East Greenwich School District
02822,Exeter-West Greenwich Regional School District
02823,Cranston School District
02824,North Smithfield School District
02825,Foster Elementary School District
02826,Burrillville School District
02827,Coventry School District
02828,Smithfield School District
02829,Foster-Glocester Regional School District
02830,Burrillville School District
02831,Scituate School District
02832,Chariho Regional School District
02833,Chariho Regional School District
02835,Jamestown School District
02836,Chariho Regional School District
02837,Little Compton School District
02838,Lincoln School District
02839,Burrillville School District
02840,Newport School District
02841,Newport School District
02842,Middletown School District
02852,North Kingstown School District
02857,Scituate School District
02858,Burrillville School District
02859,Burrillville School District
02860,Pawtucket School District
02861,Pawtucket School District
02863,Central Falls School District
02864,Cumberland School District
02865,Lincoln School District
02871,Portsmouth School District
02872,Portsmouth School District
02873,Chariho Regional School District
02874,North Kingstown School District
02875,Chariho Regional School District
02876,North Smithfield School District
02878,Tiverton School District
02879,South Kingstown School District
02881,South Kingstown School District
02882,Narragansett School District
02885,Bristol-Warren Regional School District
02886,Warwick School District
02888,Warwick School District
02889,Warwick School District
02891,Westerly School District
02892,Chariho Regional School District
02893,West Warwick School District
02894,Chariho Regional School District
02895,Woonsocket School District
02896,North Smithfield School District
02898,Chariho Regional School District
02903,Providence School District
02904,North Providence School District
02905,Providence School District
02906,Providence School District
02907,Providence School District
02908,Providence School District
02909,Providence School District
02910,Cranston School District
02911,North Providence School District
02912,Providence School District
02914,East Providence School District
02915,East Providence School District
02916,East Providence School District
02917,Smithfield School District
02918,Providence School District
02919,Johnston School District
02920,Cranston School District
02921,Cranston School District
03031,Amherst School District
03032,Auburn School District
03033,Brookline School District
03034,Candia School District
03036,Chester School District
03037,Deerfield School District
03038,Derry School District
03042,Epping School District
03043,Contoocook Valley School District
03044,Fremont School District
03045,Goffstown School District
03046,Dunbarton School District
03047,Contoocook Valley School District
03048,Mason School District
03049,Hollis School District
03051,Hudson School District
03052,Litchfield School District
03053,Londonderry School District
03054,Merrimack School District
03055,Milford School District
03057,Mont Vernon School District
03060,Nashua School District
03062,Nashua School District
03063,Nashua School District
03064,Nashua School District
03070,New Boston School District
03071,Mascenic Regional School District
03076,Pelham School District
03077,Raymond School District
03079,Salem School District
03082,Wilton-Lyndeborough School District
03084,Contoocook Valley School District
03086,Wilton-Lyndeborough School District
03087,Windham School District
03101,Manchester School District
03102,Manchester School District
03103,Manchester School District
03104,Manchester School District
03106,Hooksett School District
03109,Manchester School District
03110,Bedford School District
03215,Waterville Valley School District
03216,Andover School District
03217,Ashland School District
03218,Prospect Mountain High School Joint Maintenance Agreement District
03220,Shaker Regional School District
03221,Kearsarge Regional School District
03222,Newfound Area School District
03223,Campton School District
03224,Shaker Regional School District
03225,Prospect Mountain High School Joint Maintenance Agreement District
03226,Inter-Lakes School District
03227,Inter-Lakes School District
03229,Hopkinton School District
03230,Newfound Area School District
03231,Andover School District
03233,Kearsarge Regional School District
03234,Epsom School District
03235,Franklin School District
03237,Gilmanton School District
03238,Warren School District
03240,Mascoma Valley Regional School District
03241,Newfound Area School District
03242,John Stark Regional School District
03243,Hill School District
03244,Hillsboro-Deering Cooperative School District
03245,Pemi-Baker Regional School District
03246,Laconia School District
03249,Gilford School District
03251,Lincoln-Woodstock School District
03253,Inter-Lakes School District
03254,Moultonborough School District
03255,Kearsarge Regional School District
03256,Newfound Area School District
03257,Kearsarge Regional School District
03258,Chichester School District
03259,Inter-Lakes School District
03260,Kearsarge Regional School District
03261,Northwood School District
03262,Lincoln-Woodstock School District
03263,Pittsfield School District
03264,Plymouth School District
03266,Mascoma Valley Regional School District
03268,Merrimack Valley School District
03269,Winnisquam Regional School District
03273,Kearsarge Regional School District
03275,Pembroke School District
03276,Winnisquam Regional School District
03278,Kearsarge Regional School District
03279,Warren School District
03280,Washington School District
03281,John Stark Regional School District
03282,Wentworth School District
03284,Kearsarge Regional School District
03285,Thornton School District
03287,Kearsarge Regional School District
03290,Nottingham School District
03291,Nottingham School District
03293,Lincoln-Woodstock School District
03301,Concord School District
03303,Merrimack Valley School District
03304,Bow School District
03307,Merrimack Valley School District
03431,Keene School District
03440,Contoocook Valley School District
03441,Winchester School District
03442,Contoocook Valley School District
03443,Chesterfield School District
03444,Contoocook Valley School District
03445,Sullivan School District
03446,Monadnock Regional School District
03447,Monadnock Regional School District
03448,Monadnock Regional School District
03449,Contoocook Valley School District
03450,Harrisville School District
03451,Hinsdale School District
03452,Jaffrey-Rindge Cooperative School District
03455,Marlborough School District
03456,Marlow School District
03457,Nelson School District
03458,Contoocook Valley School District
03461,Jaffrey-Rindge Cooperative School District
03462,Chesterfield School District
03464,Stoddard School District
03465,Monadnock Regional School District
03466,Chesterfield School District
03467,Westmoreland School District
03470,Winchester School District
03561,Littleton School District
03570,Berlin School District
03574,Bethlehem School District
03575,White Mountain Regional School District
03576,Coos County School District
03579,Oxford Unorganized Territory
03580,Lafayette Regional School District
03581,Gorham Randolph Shelburne Cooperative School District
03582,Stark School District
03583,White Mountain Regional School District
03584,White Mountain Regional School District
03585,Lisbon Regional School District
03586,Lafayette Regional School District
03588,Milan School District
03590,Stratford School District
03592,Pittsburg School District
03593,Gorham Randolph Shelburne Cooperative School District
03595,White Mountain Regional School District
03597,Coos County School District
03598,White Mountain Regional School District
03601,Fall Mountain Regional School District
03602,Fall Mountain Regional School District
03603,Fall Mountain Regional School District
03604,Fall Mountain Regional School District
03605,Lempster School District
03607,Fall Mountain Regional School District
03608,Fall Mountain Regional School District
03609,Fall Mountain Regional School District
03740,Bath School District
03741,Mascoma Valley Regional School District
03743,Claremont School District
03745,Cornish School District
03748,Mascoma Valley Regional School District
03750,Dresden School District
03751,Kearsarge Regional School District
03752,Goshen School District
03753,Grantham School District
03755,Dresden School District
03765,Haverhill Cooperative School District
03766,Lebanon School District
03768,Lyme School District
03770,Plainfield School District
03771,Monroe School District
03773,Newport School District
03774,Haverhill Cooperative School District
03777,Rivendell Interstate School District
03779,Piermont School District
03780,Haverhill Cooperative School District
03781,Plainfield School District
03782,Sunapee School District
03784,Lebanon School District
03785,Benton School District
03801,Portsmouth School District
03809,Prospect Mountain High School Joint Maintenance Agreement District
03810,Prospect Mountain High School Joint Maintenance Agreement District
03811,Timberlane Regional School District
03812,Bartlett School District
03813,Chatham School District
03814,Governor Wentworth Regional School District
03816,Governor Wentworth Regional School District
03817,Tamworth School District
03818,Albany School District
03819,Timberlane Regional School District
03820,Dover School District
03823,Oyster River Cooperative School District
03824,Oyster River Cooperative School District
03825,Barrington School District
03826,Hampstead School District
